period,period_type,period_start,period_end,source,category_id,tag_count,total_reviews,rate_pct,adequate_volume,is_current_partial,in_recent_window,scope,rolling_baseline_rate_pct,flagged_spike,flagged_decline,verdict
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,support_satisfaction,1,33,3.03,True,False,False,google_play,,False,False,
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,third_party_integration,2,33,6.061,True,False,False,google_play,,False,False,
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,update_failures,4,33,12.121,True,False,False,google_play,,False,False,
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,upsell_pressure,0,33,0.0,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,ai_coach,0,30,0.0,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,app_stability,5,30,16.667,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,customer_support,8,30,26.667,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,data_accuracy,2,30,6.667,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,feature_requests,0,30,0.0,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,hardware_wearability,0,30,0.0,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,health_signal_reliability,0,30,0.0,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,localization,0,30,0.0,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,platform_parity,16,30,53.333,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,pricing_billing,5,30,16.667,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,sleep_tracking,7,30,23.333,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,sync_connectivity,16,30,53.333,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,ui_ux,0,30,0.0,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,activity_detection,0,30,0.0,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,ai_autonomy,0,30,0.0,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,ai_only_support_channel,0,30,0.0,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,ai_positive_reception,0,30,0.0,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,ai_reliability_bugs,0,30,0.0,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,android_feature_gaps,7,30,23.333,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,android_specific_bugs,9,30,30.0,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,battery_life,0,30,0.0,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,billing_disputes,0,30,0.0,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,build_quality_perception,0,30,0.0,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,cardiac_detection_trust,0,30,0.0,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,comfort_fit,0,30,0.0,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,crashes_freezes,2,30,6.667,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,data_sync_delays,4,30,13.333,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,device_rendering_bugs,0,30,0.0,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,ecg_bp_feature_reliability,0,30,0.0,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,english_jargon_complexity,0,30,0.0,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,feature_ui_friction,0,30,0.0,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,metric_accuracy,2,30,6.667,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,missing_activity_types,0,30,0.0,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,missing_language_support,0,30,0.0,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,missing_metrics,0,30,0.0,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,notification_community_issues,0,30,0.0,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,onboarding_pairing,6,30,20.0,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,ongoing_disconnects,8,30,26.667,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,personalization_use_case_fit,0,30,0.0,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,plan_trial_structure,0,30,0.0,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,price_value_perception,5,30,16.667,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,redesign_regression,0,30,0.0,True,False,False,google_play,,False,False,
